Name;Position;Country;Club;Rating0;Rating1;Rating2;Rating3;Rating4;Rating5;Rating6;Tip
BENZEMA;ST;ФРАНЦИЯ;РЕАЛ МАДРИД;90;79;88;84;85;37;77;GOLD
LEWANDOWSKI;ST;ПОЛЬША;БАРСЕЛОНА;91;74;91;80;85;42;82;GOLD
MBAPPE;ST;ФРАНЦИЯ;ПСЖ;90;96;88;74;90;32;78;GOLD
DE BRUYNE;CM;БЕЛЬГИЯ;МАНЧЕСТЕР СИТИ;92;78;90;95;89;75;79;GOLD
MESSI;CAM;АРГЕНТИНА;ПСЖ;92;85;92;93;92;76;79;GOLD
SALAH;RW;ЕГИПЕТ;ЛИВЕРПУЛЬ;90;89;89;81;90;44;73;GOLD
VAN DIJK;CB;НИДЕРЛАНДЫ;ЛИВЕРПУЛЬ;88;77;50;70;99;89;89;GOLD
RONALDO;ST;ПОРТУГАЛИЯ;МАНЧЕСТЕР СИТИ;87;73;85;73;79;30;79;GOLD
COURTOIS;GK;БЕЛЬГИЯ;РЕАЛ МАДРИД;90;84;89;75;90;46;88;GOLD
NEUER;GK;ГЕРМАНИЯ;БАВАРИЯ;90;89;89;92;90;60;92;GOLD
NEYMAR JR;CAM;БРАЗИЛИЯ;ПСЖ;91;89;90;89;93;55;68;GOLD
SON;LW;ЮЖНАЯ КОРЕЯ;ТОТТЕНХЭМ;90;87;91;84;87;43;69;GOLD
MANE;LM;СЕНЕГАЛ;БАВАРИЯ;89;90;82;82;88;66;78;GOLD
KIMMICH;CDM;ГЕРМАНИЯ;БАВАРИЯ;91;87;80;92;87;87;85;GOLD
CASEMIRO;CDM;БРАЗИЛИЯ;МАНЧЕСТЕР ЮНАЙТЕД;90;73;83;84;78;87;89;GOLD
ALISSON;GK;БРАЗИЛИЯ;ЛИВЕРПУЛЬ;89;84;82;85;87;53;85;GOLD
KANE;ST;АНГЛИЯ;ТОТТЕНХЭМ;90;73;92;86;85;49;85;GOLD
EDERSON;GK;БРАЗИЛИЯ;МАНЧЕСТЕР СИТИ;89;87;82;93;89;65;88;GOLD
KANTE;CDM;ФРАНЦИЯ;ЧЕЛСИ;88;70;63;72;80;87;83;GOLD
OBLAK;GK;СЛОВЕНИЯ;АТЛЕТИКО МАДРИД;85;85;88;76;88;45;85;GOLD
HAALAND;ST;НОРВЕГИЯ;МАНЧЕСТЕР СИТИ;93;94;96;86;84;67;91;GOLD
